country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
USA,United States of America,Kake,USA0007464,3.1,56.963,-133.9226,Oil,,,,2008.483871,Inside Passage Elec Coop  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,34705,2017,2.969,2.683,2.201,2.139,2.137,
USA,United States of America,Kalaeloa Cogen Plant,USA0054646,299.4,21.3021,-158.0963,Oil,,,,1990.203741,Kalaeloa Partners LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12225,2017,1414.84004,1309.575999,1367.800034,1295.415998,1329.897,
USA,United States of America,Kalaeloa Renewable Energy Park,USA0058651,5,21.3281,-158.04,Solar,,,,2014,Hanwha Q CELLS USA,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,8.826,9.137,8.91792,8.3853,
USA,United States of America,Kalaeloa Solar Two,USA0058259,5,21.32,-158.0869,Solar,,,,2013,Kalaeloa Solar Two LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63057,2017,10.868,11.366,11.406,11.725,10.807,
USA,United States of America,Kalaheo Hydro,USA0010412,2,21.9361,-159.5286,Hydro,,,,2016,McBryde Sugar Co Ltd,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.79,2.66,2.231,2.891,5.546,
USA,United States of America,Kalamazoo River Generating Station,USA0055101,73.1,42.2813,-85.495,Gas,,,,1999,CMS Generation MI Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,45892,2017,3.487,2.842,1.706,7.08,6.465,
USA,United States of America,Kalkaska CT #1,USA0007984,60.5,44.6889,-85.2019,Gas,,,,2003,Michigan Public Power Agency,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49064,2017,28.527,22.073,40.602,44.522,18.017,
USA,United States of America,Kamargo,USA0002581,6,44.0117,-75.7967,Hydro,,,,1921,Erie Boulevard Hydropower LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,27827,2017,23.484,22.726,12.881,16.849,24.381,
USA,United States of America,Kamin LLC Wrens Plant,USA0054880,6,33.2738,-82.4078,Gas,,,,2002,Kamin LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,48698,2017,0,0,0,0,0.765,
USA,United States of America,Kanaka,USA0054653,1.1,39.5589,-121.2961,Hydro,,,,1989,STS Hydropower Ltd,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33819,2017,0.304,0.543,0.138,1.277,0.814,
