country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
USA,United States of America,Hull Wind II,USA0056800,1.8,42.2611,-70.8564,Wind,2006,Hull Municipal Light Plant,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55703,2017,3.12939,4.417,4.707,4.209,4.003
USA,United States of America,Ida Grove Wind,USA0060342,301.1,42.3557,-95.4204,Wind,2017,MidAmerican Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,70275,2017,,,,215.994,1194.675
USA,United States of America,Inadale Wind Farm LLC,USA0056984,197,32.4969,-100.5797,Wind,2009,E ON Climate Renewables N America LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58739,2017,549.3,592.687,495.005,539.177,506.879
USA,United States of America,Intrepid,USA0056251,175.5,42.5539,-95.3283,Wind,2005,MidAmerican Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,50889,2017,546.999,537.302,403.619,419.389,353.999
USA,United States of America,Iowa Distributed Wind Generation Project,USA0007966,2.3,43.0347,-94.1406,Wind,2000,City of Algona - (IA),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.314,5.465,2.741,0,1.108
USA,United States of America,Iowa Lakes Community College Wind Farm,USA0057257,1,43.3853,-94.8157,Wind,2005,Iowa Lakes Community College,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3.566,3.53133,2.558,4.094,4.42648
USA,United States of America,Iowa Lakes Superior Wind Farm,USA0057252,10.5,43.445,-94.9803,Wind,2009,Iowa Lakes Electric Coop,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,40.231,43.099,40.508,39.3,37.537
USA,United States of America,Ipswich Wind Independence,USA0059023,2,42.7172,-70.8464,Wind,2013,Ipswich Wind Independence,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,4.105,4.5,4.472,3.841,2.456
USA,United States of America,Ipswich Wind Turbine,USA0057855,1.6,42.7164,-70.8419,Wind,2011,Town of Ipswich - (MA),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3.477,2.261,3.604,3.97,3.989
USA,United States of America,Ironwood Wind,USA0057639,167.9,37.8183,-99.7754,Wind,2012,Ironwood Windpower LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,61143,2017,578.073,641.952,629.417,654.51,633.977
